,source,target,content
2765,cborkowski,IvankaTrump,non tweet
2774,MomTo2Hamiltons,Marvel,non tweet
2775,MomTo2Hamiltons,DCComics,non tweet
2808,Guardian_Elite,FoxNews,non tweet
2814,Guardian_Elite,DonaldJTrumpJr,non tweet
2824,_realitybitch,YourAnonCentral,non tweet
2825,_realitybitch,YourAnonNews,non tweet
2830,ItsMeJohnnyOB,HillaryClinton,non tweet
2847,redwhiteblue02,CNN,non tweet
2849,Joe7993,POTUS,non tweet
2880,HINJ2010,CNBC,non tweet
2914,deplorablelori,EricTrump,non tweet
2942,demygorgon,ABC,non tweet
2960,demygorgon,ABC,non tweet
2972,KimberlyFergus,POTUS,non tweet
2973,KimberlyFergus,POTUS,non tweet
2986,Pam_Ramos11,Reuters,non tweet
3002,danV_09554,amazon,non tweet
3101,BantheMask,NFL,non tweet
3105,DanWLifeMatter,CBSNews,non tweet
3116,tch0ummmm,RockstarGames,non tweet
3138,FinisLDaileyIII,IngrahamAngle,non tweet
3139,FinisLDaileyIII,CNN,non tweet
3145,PenneyVC,WhiteHouse,non tweet
3155,Border45Patrol,JoeBiden,non tweet
3168,Border45Patrol,JoeBiden,non tweet
3199,fatpedlar,JoeBiden,non tweet
3204,axbIumenthal,YourAnonCentral,non tweet
3244,jphoganorg,JoeBiden,non tweet
3258,Lorijbrown51,AOC,non tweet
3362,koijanda,GloboNews,non tweet
3363,koijanda,JornalOGlobo,non tweet
3399,rayray692,UN,non tweet
3404,Pappa_Grizzly,WhiteHouse,non tweet
3408,dylante123,FaZeClan,non tweet
3409,dylante123,CallofDuty,non tweet
3421,WolverGene1,JimCarrey,non tweet
3425,ParadiseFoundMT,CBSNews,non tweet
3438,blairs7x70,POTUS,non tweet
3478,GentlemanJonD,NBCNews,non tweet
3506,anonymousV888,YourAnonCentral,non tweet
3511,anonymousV888,YourAnonCentral,non tweet
3525,argentinatrump,HillaryClinton,non tweet
3539,0Lobsterhauler,JoeBiden,non tweet
3565,NancyMAGAmonkey,JoeBiden,non tweet
3569,anonymousV888,YourAnonCentral,non tweet
3575,MollyOKami,BenShapiro,non tweet
3580,remiller1947,CNN,non tweet
3581,remiller1947,FoxNews,non tweet
3582,remiller1947,MSNBC,non tweet
3587,anonymousV888,YourAnonNews,non tweet
3591,anonymousV888,YourAnonNews,non tweet
3596,theleftstinks,thehill,non tweet
3623,steptothefuture,JoeBiden,non tweet
3624,steptothefuture,JoeBiden,non tweet
3625,steptothefuture,seanhannity,non tweet
3647,drumpf_tonald,cnnbrk,non tweet
3661,anonymousV888,YourAnonNews,non tweet
3671,PaulTStockwell,YouTube,non tweet
3673,anonymousV888,YourAnonCentral,non tweet
3674,anonymousV888,YourAnonNews,non tweet
3696,anonymousV888,YourAnonNews,non tweet
3710,TROLLEY_RT,BBCNews,non tweet
3731,drwill_SuttonPl,nfl,non tweet
3745,anonymousV888,YourAnonNews,non tweet
3773,steptothefuture,JoeBiden,non tweet
3793,Phyzee_dex,CNN,non tweet
3818,Ryan_Dumnonia,guardian,non tweet
3833,VictorJArca1,IngrahamAngle,non tweet
3919,9ginasg,YouTube,non tweet
3942,RobboSprint,brfootball,non tweet
4065,FGSreallyduh,CBSNews,non tweet
4155,Patriotintruth,WhiteHouse,non tweet
4220,Lynda63986855,WhiteHouse,non tweet
4275,CreativeVerveM,POTUS,non tweet
4281,CreativeVerveM,SpeakerPelosi,non tweet
4346,marctyler30,JoeBiden,non tweet
4396,Tabitha59803043,BorisJohnson,non tweet
4400,Jetpilotjohn12,CNBC,non tweet
4416,argentinatrump,BBCWorld,non tweet
4417,argentinatrump,BBCNews,non tweet
4423,Bernadette69,YouTube,non tweet
4440,applechai4,TMZ,non tweet
4508,leopoldwear,YourAnonCentral,non tweet
4532,USAwareTexas,tedcruz,non tweet
4587,I_DeMelo,GMA,non tweet
4597,AntJGreco,tedcruz,non tweet
4613,Skye_1008,WhiteHouse,non tweet
4627,cantbesilenced1,seanhannity,non tweet
4628,usa_legionnaire,tedcruz,non tweet
4655,cornwellstyling,MariahCarey,non tweet
4687,tillerylakelady,TheRock,non tweet
4688,tillerylakelady,WhiteHouse,non tweet
4694,jeffkatzshow,amazon,non tweet
4750,HowardKravetz,YouTube,non tweet
4780,Lynda63986855,WhiteHouse,non tweet
4879,ACamille38,NFL,non tweet
4896,33Relsek,YouTube,non tweet
4958,sadhy,MariahCarey,non tweet
4959,sadhy,MariahCarey,non tweet
4984,TidesEnd2021,TuckerCarlson,non tweet
4992,ParadiseFoundMT,CBSNews,non tweet
4993,CathyHigginsWY,SteveCarell,non tweet
5029,TLANES11,IngrahamAngle,non tweet
5046,chicityderby,WhiteHouse,non tweet
5053,BHNC2020,POTUS,non tweet
5103,chicityderby,WhiteHouse,non tweet
5112,aanaaxo,WhiteHouse,non tweet
5121,4whatsright,nytimes,non tweet
5122,4whatsright,latimes,non tweet
5128,4whatsright,seanhannity,non tweet
5130,4whatsright,nytimes,non tweet
5131,4whatsright,latimes,non tweet
5140,4whatsright,AOC,non tweet
5141,4whatsright,seanhannity,non tweet
5143,4whatsright,nytimes,non tweet
5144,4whatsright,latimes,non tweet
5162,4whatsright,seanhannity,non tweet
5164,4whatsright,nytimes,non tweet
5165,4whatsright,latimes,non tweet
5171,4whatsright,seanhannity,non tweet
5173,4whatsright,nytimes,non tweet
5174,4whatsright,latimes,non tweet
5184,4whatsright,seanhannity,non tweet
5186,4whatsright,nytimes,non tweet
5187,4whatsright,latimes,non tweet
5194,beausmith2017,chrissyteigen,non tweet
5195,beausmith2017,Sethrogen,non tweet
5196,beausmith2017,SteveCarell,non tweet
5213,59_JDC,WhiteHouse,non tweet
5221,net11e,AP,non tweet
5222,LeighWaldron,cnni,non tweet
5232,itsjustWill91,icecube,non tweet
5256,usa_legionnaire,WhiteHouse,non tweet
5261,usa_legionnaire,Mike_Pence,non tweet
