,source,target,content
2531,BrookeBrophy1,TuckerCarlson,non tweet
2539,CindyEmens1,VP,non tweet
2588,Veronic93725366,Mike_Pence,non tweet
2593,DivaPolitical,washingtonpost,non tweet
2600,BrookeBrophy1,FoxNews,non tweet
2603,BrookeBrophy1,chrisrock,non tweet
2612,jerryldavis2010,CNN,non tweet
2626,JimJeffery11,TuckerCarlson,non tweet
2652,pitdragon77,CNN,non tweet
2653,pitdragon77,NBCNews,non tweet
2654,pitdragon77,ABC,non tweet
2691,bflony123,FoxNews,non tweet
2706,savguy2307,CNN,non tweet
2708,tgerbait03,Mike_Pence,non tweet
2716,B0SSB0Y,Trevornoah,non tweet
2888,Wisc_Death_Trip,CNNPolitics,non tweet
2958,Trace88529604,TuckerCarlson,non tweet
2982,mythoughtescape,Mike_Pence,non tweet
3000,mythoughtescape,TuckerCarlson,non tweet
3002,mythoughtescape,seanhannity,non tweet
3003,mythoughtescape,CNN,non tweet
3005,jawalbert77,YouTube,non tweet
3031,Schvidah,CNNPolitics,non tweet
3032,Schvidah,VP,non tweet
3047,AvatarAntifa,TuckerCarlson,non tweet
3072,rayann_nicole88,TMZ,non tweet
3079,2whltrvlr,POTUS,non tweet
3081,rayann_nicole88,CNN,non tweet
3085,KShout4life,TuckerCarlson,non tweet
3086,KShout4life,TuckerCarlson,non tweet
3113,DillonSisk,YouTube,non tweet
3116,alexandraheuser,CNN,non tweet
3124,iamacapitalist2,YouTube,non tweet
3150,mrddmia,TuckerCarlson,non tweet
3152,sdrloo2,HuffPost,non tweet
3155,jeanie_122,YouTube,non tweet
3157,AvatarAntifa,nytimes,non tweet
3181,tillerylakelady,CNN,non tweet
3182,kybred54,seanhannity,non tweet
3184,farmgirlmim,POTUS,non tweet
3215,tweetybrun,YouTube,non tweet
3240,Tdlee19,YouTube,non tweet
3245,GolfGuy216,YouTube,non tweet
3262,3sidedstory,KingJames,non tweet
3282,rebels2008,JoeBiden,non tweet
3288,southerncagna,POTUS,non tweet
3321,tweetybrun,YouTube,non tweet
3364,EastofG,Wale,non tweet
3394,YanSmit55688770,POTUS,non tweet
3397,YanSmit55688770,FoxNews,non tweet
3402,Cemoto78,WhiteHouse,non tweet
3415,MylesRevolution,YouTube,non tweet
3493,FallSpring3,SpeakerPelosi,non tweet
3497,jmn1888,YouTube,non tweet
3520,irishpizzacook,cnn,non tweet
3526,DillonSisk,YouTube,non tweet
3550,Modi4E,KamalaHarris,non tweet
3551,Modi4E,JoeBiden,non tweet
3579,GirlNxDoor,USATODAY,non tweet
3606,LEOsCoast2Coast,YouTube,non tweet
3657,steve_boudrias,BarackObama,non tweet
3702,SamPlayItAgain1,BarackObama,non tweet
3733,Reshaud,USATODAY,non tweet
3738,ChrisLaugaland,BarackObama,non tweet
3741,ChrisLaugaland,BarackObama,non tweet
3742,AvatarAntifa,TuckerCarlson,non tweet
3799,VendettaArc,BernieSanders,non tweet
3800,MassholeReports,YouTube,non tweet
3868,chazybee,nytimes,non tweet
3899,VfHein,seanhannity,non tweet
3900,VfHein,TuckerCarlson,non tweet
