,source,target,content
3770,hey_its_reya,BTS_twt,non tweet
3776,friendxz,BTS_twt,non tweet
3783,NicholsUprising,nytimes,non tweet
3857,BTS_ARMYandKiki,BTS_twt,non tweet
3859,pinkk_milkk,BTS_twt,non tweet
3862,virgowh0re111,YourAnonNews,non tweet
3875,CaribbeangGurl,billboard,non tweet
3876,CaribbeangGurl,YouTube,non tweet
3877,CaribbeangGurl,taylorswift13,non tweet
3892,Olivia37965223,nickjonas,non tweet
3955,amiwonit,BTS_twt,non tweet
3975,queenieDWL,BreakingNews,non tweet
3977,8lueAndGray,BTS_twt,non tweet
3981,Awake_Aileen,BTS_twt,non tweet
4048,Taeutifuul,BTS_twt,non tweet
4050,Taeutifuul,bts_twt,non tweet
4056,MaiaBug2010,LittleMix,non tweet
4075,YoongiD9,BTS_twt,non tweet
4080,vanatani,BTS_twt,non tweet
4115,_taesope_,BTS_twt,non tweet
4132,ClayEnglish8,BTS_twt,non tweet
4133,ClayEnglish8,bts_bighit,non tweet
4140,Generative33V,KingJames,non tweet
4142,Generative33V,TheEllenShow,non tweet
4220,JoPSmith25,SkyNews,non tweet
4233,Yup15566124,nytimes,non tweet
4313,DangPrachi,Twitter,non tweet
4330,venancioguga,showdavida,non tweet
4464,_Minsugarmy,BTS_twt,non tweet
4514,bambinoji,CNN,non tweet
4515,LVnDallas,IvankaTrump,non tweet
4577,SStylz360,YouTube,non tweet
4625,Strawberry_1313,bts_bighit,non tweet
4626,Strawberry_1313,BTS_twt,non tweet
4699,bazaar_brit,SkyNews,non tweet
4728,kitiara_dc,BTS_twt,non tweet
4745,Elliot_Girl_,Pink,non tweet
4789,KevinKvasnok12,Sethrogen,non tweet
4802,vkookisfood,BTS_twt,non tweet
4804,_ks_l,Estadao,non tweet
4860,Whtrslugcaviie1,YouTube,non tweet
4861,Whtrslugcaviie1,MichelleObama,non tweet
4866,grem_pls,Beyonce,non tweet
4929,ositogarfield,SarahKSilverman,non tweet
4938,Taeutifuul,bts_twt,non tweet
5019,RashaanPeek,BarackObama,non tweet
5034,Strawberry_1313,BTS_twt,non tweet
5035,Strawberry_1313,BTS_twt,non tweet
5092,ebonix__,Harry_Styles,non tweet
5098,CllrKelleher,AOC,non tweet
5128,BTSonRadioPH,bts_twt,non tweet
5147,armact,JoeBiden,non tweet
5148,armact,JoeBiden,non tweet
5159,blonde_seokjin,YouTube,non tweet
5160,blonde_seokjin,BarackObama,non tweet
5161,blonde_seokjin,MichelleObama,non tweet
5162,blonde_seokjin,Beyonce,non tweet
5163,blonde_seokjin,ladygaga,non tweet
5168,vantenational,BTS_twt,non tweet
5225,PetaD56,nytimes,non tweet
5235,tripphudgins,instagram,non tweet
5246,Texasopinon,EW,non tweet
5258,AYcancun,BTS_twt,non tweet
5286,DrewKnightWV,nytimes,non tweet
5289,DrewKnightWV,nytimes,non tweet
5293,Elliot_Girl_,Pink,non tweet
5298,DuaneRankin,nytimes,non tweet
5311,YDanasmithdutra,cnnbrk,non tweet
5320,Strawberry_1313,BTS_twt,non tweet
5321,Strawberry_1313,BTS_twt,non tweet
5326,thisisShireen,piersmorgan,non tweet
5363,Miggie7,KamalaHarris,non tweet
5366,AnamarijaFilip3,BTS_twt,non tweet
5379,A_CLAIVIP_GOD,YouTube,non tweet
5449,Midnight12Rockr,YouTube,non tweet
5454,JessicaSaphia,YouTube,non tweet
5458,SElhichri,BTS_twt,non tweet
5541,CovensButterfly,ABC,non tweet
5549,AlbertH51591544,ABC,non tweet
5552,AlbertH51591544,CNN,non tweet
