,source,target,content
2620,rafacasemiro,LewisHamilton,non tweet
2636,christatum4949,LewisHamilton,non tweet
2664,browndamon,forbes,non tweet
2694,trueamercn,YouTube,non tweet
2712,lewis246,SkyNews,non tweet
2746,wolexismedia,ChelseaFC,non tweet
2751,tedwise51,TheDailyShow,non tweet
2756,GhostAnon9,AOC,non tweet
2758,GhostAnon9,JoeBiden,non tweet
2803,ashleyspeakss,billboard,non tweet
2820,FlaRenegade,KamalaHarris,non tweet
2828,StarFly_Holly,KamalaHarris,non tweet
2853,bluesky9113,JoeBiden,non tweet
2855,PlainTruthNow,FoxNews,non tweet
2858,PlainTruthNow,cnnbrk,non tweet
2883,DelagloireM,LewisHamilton,non tweet
2964,ashleyspeakss,instagram,non tweet
2969,tameryazar,YourAnonNews,non tweet
2992,georgejuer,LewisHamilton,non tweet
3034,jamesvgingerich,Twitter,non tweet
3058,tameryazar,YourAnonNews,non tweet
3069,DanielOndiere,TheFarahKhan,non tweet
3071,DanielOndiere,50cent,non tweet
3145,bubba_wubba,ABC,non tweet
3146,bubba_wubba,IvankaTrump,non tweet
3168,FlaRenegade,KamalaHarris,non tweet
3213,swish_season,KimKardashian,non tweet
3274,Belodo,cnn,non tweet
3275,Belodo,reuters,non tweet
3276,Belodo,nbcnews,non tweet
3284,Zain1702,LFC,non tweet
3301,trevorgoodwin54,premierleague,non tweet
3313,Zain1702,LewisHamilton,non tweet
3317,trezedejunho_,LewisHamilton,non tweet
3368,Chatroux1947,WHO,non tweet
3380,OccupyS17,POTUS,non tweet
3401,Info4U2Know,JoeBiden,non tweet
3444,CallingSpade,maddow,non tweet
3446,CallingSpade,andersoncooper,non tweet
3561,Sybyle3,YouTube,non tweet
3594,elbow_ellen,JoeBiden,non tweet
3671,DickMackintosh,YouTube,non tweet
3674,KangarooCaught,BernieSanders,non tweet
3725,DanielNewman,Marvel,non tweet
3789,Erottan1,netflix,non tweet
3796,DanielNewman,Marvel,non tweet
3822,Driver4hire1,bbcnews,non tweet
3825,Driver4hire1,GUARDIAN,non tweet
3847,pettet50,nbcnews,non tweet
3913,happinessbccc,YouTube,non tweet
3931,bill_klingbeil,YouTube,non tweet
3967,VickOnEverythin,JoeBiden,non tweet
3984,Trevor51865732,SkyNews,non tweet
4001,OneLuvSports,NFL,non tweet
4025,happinessbccc,YouTube,non tweet
4086,Fran_Neena20409,billmaher,non tweet
4092,reggytrades,YouTube,non tweet
4094,CinemaProfound,Lakers,non tweet
4109,JustinFazio801,KingJames,non tweet
4137,BenWhiteBeats,kanyewest,non tweet
4138,BenWhiteBeats,YouTube,non tweet
4150,LorayMuhammad,UN,non tweet
4158,lisamead7,YouTube,non tweet
4160,happinessbccc,YouTube,non tweet
4185,orwell4ever,nytimes,non tweet
4188,jack_walker19,LewisHamilton,non tweet
4189,jack_walker19,F1,non tweet
4196,happinessbccc,YouTube,non tweet
4219,InformedWa,YouTube,non tweet
4238,maggicarter,NPR,non tweet
4248,parkersmomtoo,CNN,non tweet
4249,parkersmomtoo,CBSNews,non tweet
4252,parkersmomtoo,ABC,non tweet
4253,parkersmomtoo,SpeakerPelosi,non tweet
4254,parkersmomtoo,SenSanders,non tweet
4261,happinessbccc,YouTube,non tweet
4266,RevoltingDykes,NYTimes,non tweet
4303,writersroompub,BBCNews,non tweet
4330,humbleSeraph72,BleacherReport,non tweet
4336,AllieK02,cnnbrk,non tweet
4339,boboy315in,JoeBiden,non tweet
4340,boboy315in,joebiden,non tweet
4341,boboy315in,JoeBiden,non tweet
4351,drjeffmbaxter,AOC,non tweet
4363,drjeffmbaxter,AOC,non tweet
4390,drjeffmbaxter,AOC,non tweet
4401,drjeffmbaxter,CBSNews,non tweet
4404,drjeffmbaxter,AOC,non tweet
4457,drjeffmbaxter,AOC,non tweet
4482,canntfestival,Guardian,non tweet
4484,mtkigz1,LewisHamilton,non tweet
4488,carlos_kairi,realmadriden,non tweet
4502,photos5280,WIRED,non tweet
4505,kyleemongold,BarackObama,non tweet
4507,xjewyorkcitygal,MichelleObama,non tweet
4509,dpclinch,YouTube,non tweet
4541,Rasaki81,VP,non tweet
4552,JordanBoggs12,JoeBiden,non tweet
4635,gotimothy,YouTube,non tweet
4659,kathiemc51,YouTube,non tweet
4729,NelsonNSCtweet,Twitter,non tweet
4787,JulietParry,BernieSanders,non tweet
4819,JayneenSanders,IvankaTrump,non tweet
4854,Info4U2Know,JoeBiden,non tweet
4867,CHCDN22,LewisHamilton,non tweet
4900,Gabrielle_Chana,YouTube,non tweet
4925,FantasyyCamp,twitter,non tweet
4969,crewealex7,piersmorgan,non tweet
4988,B0SSB0Y,HillaryClinton,non tweet
4996,KundelWolfBlut,wired,non tweet
5038,farrukhshah786,LewisHamilton,non tweet
5059,MarkE1872,Reuters,non tweet
5089,VergentC,JoeBiden,non tweet
5090,VergentC,BillClinton,non tweet
5094,Praying_for_all,KamalaHarris,non tweet
5104,kinkysweetsoft,YouTube,non tweet
5127,GZilney,CNN,non tweet
5136,GZilney,CBSNews,non tweet
5137,GZilney,BBCWorld,non tweet
5138,GZilney,nytimes,non tweet
5139,GZilney,washingtonpost,non tweet
5153,backyardconserv,NPR,non tweet
5163,AvasPowerOfOne,AOC,non tweet
5201,Aroguden,Reuters,non tweet
5209,ShekeelaJones,EmmanuelMacron,non tweet
5210,ShekeelaJones,UN,non tweet
5230,Reuters,Reuters,tweet
5294,PrinceAliNY,Starbucks,non tweet
5310,Lureeality,BarackObama,non tweet
5418,B0SSB0Y,JoeBiden,non tweet
5420,Electromus,BarackObama,non tweet
5429,QuadZillaPDX,SpeakerPelosi,non tweet
5431,MissDeniCameron,POTUS,non tweet
5439,Aurelian_Wolf,nbcnews,non tweet
5451,DrJDrooghaag,LewisHamilton,non tweet
5473,SimplyME_Born,BleacherReport,non tweet
5475,bill_klingbeil,YouTube,non tweet
5507,247nigeria,NPR,non tweet
5509,247nigeria,SamuelLJackson,non tweet
5516,247nigeria,SamsungMobile,non tweet
5527,mrtweeterverse,AOC,non tweet
5536,anonymouslyphil,BernieSanders,non tweet
5544,LindalCollins2,SpeakerPelosi,non tweet
5545,LindalCollins2,AOC,non tweet
5598,jmcotza,Reuters,non tweet
5608,snailsaregay413,YouTube,non tweet
5661,b4one,YouTube,non tweet
5667,b4one,AP,non tweet
5688,AUn4218473,POTUS,non tweet
5731,KO666Cis,POTUS,non tweet
5793,bigblock111,LewisHamilton,non tweet
5796,LMeeg,YouTube,non tweet
5798,skeets82,cnnbrk,non tweet
5820,merrydock142,CNN,non tweet
5822,rmarie699,nytimes,non tweet
5838,bigblock111,LewisHamilton,non tweet
5840,jamesarelonhard,JoeBiden,non tweet
5863,JohnParisella,BarackObama,non tweet
5917,Jeriannabananas,YouTube,non tweet
5936,Mavattii,kendricklamar,non tweet
5937,Mavattii,JColeNC,non tweet
5949,FeoChin,BTS_twt,non tweet
5953,55andwhat,JoeBiden,non tweet
6048,jotavino,CNN,non tweet
6049,jotavino,CNNEE,non tweet
6115,Eclectic_clique,SkyNews,non tweet
6136,navneetthakur99,sonamakapoor,non tweet
6142,marlotw,YouTube,non tweet
6205,johnorttuk,LewisHamilton,non tweet
6209,johnorttuk,LewisHamilton,non tweet
6237,LaLaKristiansen,SnoopDogg,non tweet
6246,HuffZeroZero9,CNN,non tweet
6247,HuffZeroZero9,cnn,non tweet
