,source,target,content
1110,healthybuttrfly,JoeBiden,non tweet
1113,healthybuttrfly,JoeBiden,non tweet
1117,healthybuttrfly,JoeBiden,non tweet
1121,healthybuttrfly,JoeBiden,non tweet
1127,MissionaryBLMM,Oprah,non tweet
1129,HeidelbergHier,JoeBiden,non tweet
1130,HeidelbergHier,SenSanders,non tweet
1136,Theodectes,JoeBiden,non tweet
1159,MrHappy4870,JoeBiden,non tweet
1167,PodNewsroom,Twitter,non tweet
1170,postevoice,NBCNews,non tweet
1173,traysings,chelseahandler,non tweet
1195,OccupyS17,POTUS,non tweet
1196,OccupyS17,joebiden,non tweet
1207,OccupyS17,joebiden,non tweet
1208,OccupyS17,POTUS,non tweet
1220,OccupyS17,cbsnews,non tweet
1222,OccupyS17,POTUS,non tweet
1228,nativeveteran,YouTube,non tweet
1241,OccupyS17,joebiden,non tweet
1243,OccupyS17,POTUS,non tweet
1248,soymalachias,JoeBiden,non tweet
1259,mjbrezinski,JoeBiden,non tweet
1314,MissQ23114728,JoeBiden,non tweet
1319,INDIGOSKYY,JoeBiden,non tweet
1405,TheatreChat,JoeBiden,non tweet
1406,TheatreChat,JoeBiden,non tweet
1408,TheatreChat,KamalaHarris,non tweet
1459,OccupyS17,joebiden,non tweet
1460,OccupyS17,POTUS,non tweet
1465,FlPatriot41,JoeBiden,non tweet
1466,WeThePeopleSOS,JoeBiden,non tweet
1483,PaulStraightUp,JoeBiden,non tweet
1497,dcfairbank,BBCNews,non tweet
1512,EvolvingManLBV,BarackObama,non tweet
1515,whitecastleruns,JoeBiden,non tweet
1516,whitecastleruns,BarackObama,non tweet
1517,whitecastleruns,JoeBiden,non tweet
1528,bmorrow646,NYTimes,non tweet
1530,WKUentrepreneur,JoeBiden,non tweet
1537,1776usafreedom,JoeBiden,non tweet
1539,aaronmyers,JoeBiden,non tweet
1567,HeidelbergHier,JoeBiden,non tweet
1583,1776usafreedom,JoeBiden,non tweet
1603,JA_Loans,JoeBiden,non tweet
1626,Tom886,AOC,non tweet
1631,Tom886,SenSanders,non tweet
1632,Tom886,SpeakerPelosi,non tweet
1635,Tom886,MMFlint,non tweet
1674,BreakingNow911,JoeBiden,non tweet
1675,Goldstatetimes,JoeBiden,non tweet
1697,Zia_Correa,JoeBiden,non tweet
1729,ScullyLifeMafia,YouTube,non tweet
1730,ScullyLifeMafia,CNN,non tweet
1732,ScullyLifeMafia,maddow,non tweet
1735,ScullyLifeMafia,andersoncooper,non tweet
1737,ScullyLifeMafia,ABC,non tweet
1739,JennBetaqueen,JoeBiden,non tweet
1745,winchesterlyon,JoeBiden,non tweet
1868,MarcusJamesCage,MichelleObama,non tweet
1869,MarcusJamesCage,BarackObama,non tweet
1889,memedepo_,YouTube,non tweet
1908,whitecastleruns,JoeBiden,non tweet
1910,whitecastleruns,BarackObama,non tweet
1938,krylev_ru,CNN,non tweet
1940,krylev_ru,ABC,non tweet
1983,queenpisces1982,YouTube,non tweet
2021,PTNickB,common,non tweet
2041,HellFriday13,StephenKing,non tweet
2050,AVALANCHE_RAP,MeekMill,non tweet
2076,HalfoftheGlobe,TIME,non tweet
2084,Albin1887,FoxNews,non tweet
2085,uniqueloves,YouTube,non tweet
2117,Tom886,AOC,non tweet
2121,Tom886,SenSanders,non tweet
2122,Tom886,SpeakerPelosi,non tweet
2126,Tom886,MMFlint,non tweet
2165,DoctorKwanza,nbcnews,non tweet
2172,DjCowboy64,nbcnews,non tweet
2204,MissionaryBLMM,POTUS,non tweet
2222,MissionaryBLMM,BillClinton,non tweet
2224,MissionaryBLMM,KamalaHarris,non tweet
2265,BerserkerNeil,JoeBiden,non tweet
2286,asinnow,JoeBiden,non tweet
2291,MissionaryBLMM,CNN,non tweet
2294,MissionaryBLMM,AP,non tweet
2296,MissionaryBLMM,FoxNews,non tweet
2303,MissionaryBLMM,tylerperry,non tweet
2306,MissionaryBLMM,SpeakerPelosi,non tweet
2307,MissionaryBLMM,washingtonpost,non tweet
2323,SmilePrettyLady,nytimes,non tweet
2362,Meredit05881052,VP,non tweet
2364,Meredit05881052,POTUS,non tweet
2373,MissionaryBLMM,CNN,non tweet
2403,auydaplease,CNN,non tweet
2453,DivinnaFortunna,JoeBiden,non tweet
2455,nativeveteran,YouTube,non tweet
2474,Tom886,AOC,non tweet
2479,Tom886,SenSanders,non tweet
2480,Tom886,SpeakerPelosi,non tweet
2483,Tom886,MMFlint,non tweet
2495,OccupyS17,POTUS,non tweet
2548,_Anonym0us_FL_,twitch,non tweet
2574,PTNickB,common,non tweet
2605,auydaplease,CNN,non tweet
2655,DrStevenGoldbe2,TIME,non tweet
2707,ScottLaday,ABC,non tweet
2734,APEXPENNYSTOCKS,CNN,non tweet
2743,APEXPENNYSTOCKS,cnn,non tweet
2748,MissionaryBLMM,Pontifex,non tweet
2765,realpsalm,MTVNEWS,non tweet
2771,Shweta08479555,ayushmannk,non tweet
2855,TeriCAdams,NBCNews,non tweet
2889,BLM757,YouTube,non tweet
2904,ThisisShannonVB,MeekMill,non tweet
2905,ThisisShannonVB,Spotify,non tweet
2913,ThisisShannonVB,KingJames,non tweet
2927,empathicrealist,netflix,non tweet
2932,SammyBytes,Oprah,non tweet
2939,DjCowboy64,nbcnews,non tweet
2942,Tom886,AOC,non tweet
2947,Tom886,SenSanders,non tweet
2948,Tom886,SpeakerPelosi,non tweet
2951,Tom886,MMFlint,non tweet
2962,Tom886,AOC,non tweet
2967,Tom886,SenSanders,non tweet
2968,Tom886,SpeakerPelosi,non tweet
2971,Tom886,MMFlint,non tweet
2989,LacyClayMO1,nbcnews,non tweet
